publisher_domain,ssp_domain,seller_id,relationship,verified_legal_entity
moneycontrol.com,freewheel.tv,536055-r-524565,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,freewheel.tv,536055-r-169843,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,flashb.id,22a897ca-8cd1-59a3-b4d5-a3cd7a23486b,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,20922,RESELLER,Meetscale
moneycontrol.com,pubmatic.com,160107,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,smartadserver.com,3389,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,inmobi.com,3fdbc5954bd540d3b385aadaf4e99aa6,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,11726,RESELLER,INMOBI PTE LTD
moneycontrol.com,rubiconproject.com,12266,RESELLER,INMOBI PTE LTD
moneycontrol.com,conversantmedia.com,40881,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,loopme.com,9724,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,lijit.com,502742,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,156931,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,157097,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,blis.com,33,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,verve.com,5897,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,159035,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,axonix.com,57716,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,thebrave.io,1234568,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,se7en.es,212430,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,gamaigroup.com,320201,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,iqzone.com,IQ87,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,yeahmobi.com,5135082,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubnative.net,1006951,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,admanmedia.com,2063,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,themediagrid.com,B8N9YH,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,video.unrulymedia.com,188404962,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,contextweb.com,558638,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,applixir.com,EAA,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,onetag.com,775d7b40364f940-OB,RESELLER,Not Tracked (Non-Top 3 SSP)
